Title,Bedrooms,Bathrooms,Carports,Agent,Price_num,Installment_num,Land_sqm,Building_sqm,Area,City,Price_sqm,property_type,price_per_land_m2,price_segment,land_building_ratio,Price_sqm_M,query,lat,lon
Rumah Cozy Dengan Private Pool di Lokasi Strategis Kemang Utara,7,7,3,Linda Limar Property,23000000000.0,97000000,848,700,Kemang,Jakarta Selatan,32857142.86,Residential,27122642.0,10–50B,1.21,32.857142859999996,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
"Dijual Rumah Tua Terawat Lokasi Di Kebayor di Kebayoran Baru, Jakarta Selatan.",4,3,6,Griselda Valentina,55000000000.0,233000000,701,683,Kebayoran Baru,Jakarta Selatan,80527086.38,Residential,78459344.0,> 50B,1.03,80.52708638,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Rumah Pondok Indah Hoek Hadap Timur,7,5,8,Riri Natsir,30000000000.0,127000000,804,600,Pondok Indah,Jakarta Selatan,50000000.0,Residential,37313433.0,10–50B,1.34,50.0,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Rumah Cantik Asri Tenang di Ampera,5,5,1,Bagus Arfi,17000000000.0,72000000,600,630,Ampera,Jakarta Selatan,26984126.98,Residential,28333333.0,10–50B,0.95,26.98412698,"Ampera, Jakarta Selatan, Indonesia",-6.2936735,106.8217855
Hunian Strategis Dekat Mrt. Area Cilandak Jakarta Selatan,2,2,1,Nawasena,998000000.0,4000000,32,64,Cilandak,Jakarta Selatan,15593750.0,Residential,31187500.0,500M–1B,0.5,15.59375,"Cilandak, Jakarta Selatan, Indonesia",-6.2897982,106.7969264
"Dijual Aparthouse, Dekat Mrt. Area Cilandak, Jakarta Selatan",3,2,1,Nawasena,1430000000.0,6000000,32,105,Cilandak,Jakarta Selatan,13619047.62,Residential,44687500.0,1–2B,0.3,13.61904762,"Cilandak, Jakarta Selatan, Indonesia",-6.2897982,106.7969264
For Sale Rumah Dalam Town House. Gandaria Kebayoran Lama,4,3,2,Octaviano,6500000000.0,27000000,171,337,Gandaria,Jakarta Selatan,19287833.83,Residential,38011696.0,5–10B,0.51,19.287833829999997,"Gandaria, Jakarta Selatan, Indonesia",-6.2450525,106.7883289
For Sale Lokasi Premium Jalan Lebar Di Senopati Kebayoran Baru,4,3,2,Aditiya Saputra,15000000000.0,63000000,317,147,Kebayoran Baru,Jakarta Selatan,102040816.3,Residential,47318612.0,10–50B,2.16,102.0408163,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Luxurious Modern Classic Hook Fully Furnished Di Pondok Indah,5,7,2,Aditiya Saputra,55000000000.0,233000000,650,600,Pondok Indah,Jakarta Selatan,91666666.67,Residential,84615385.0,> 50B,1.08,91.66666667,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Hunian Nyaman Timbul Raya,3,3,2,Kefas Property,2670000000.0,11000000,98,100,Jagakarsa,Jakarta Selatan,26700000.0,Residential,27244898.0,2–5B,0.98,26.7,"Jagakarsa, Jakarta Selatan, Indonesia",-6.3301011,106.8222371
